id,name,location
shelter_partner_1a,Luna,A1
shelter_partner_2a,Oliver,A2
shelter_partner_3a,Bella,A3
shelter_partner_4a,Milo,A4
shelter_partner_5a,Chloe,A5
shelter_partner_6a,Leo,A6
shelter_partner_7a,Lily,A7
shelter_partner_8a,Jasper,A8
shelter_partner_9a,Daisy,A9
shelter_partner_10,Felix,A10
shelter_partner_11,Nala,A11
shelter_partner_12,Simba,A12
shelter_partner_13,Sophie,A13
shelter_partner_14,Charlie,A14
shelter_partner_15,Willow,A15
shelter_partner_16,Oscar,A16
shelter_partner_17,Stella,A17
shelter_partner_18,Loki,A18
shelter_partner_19,Cleo,A19
shelter_partner_20,Toby,A20
shelter_partner_21,Zoe,B1
shelter_partner_22,Max,B2
shelter_partner_23,Ruby,B3
shelter_partner_24,Pepper,B4
shelter_partner_25,Finn,B5
shelter_partner_26,Mia,B6
shelter_partner_27,Gizmo,B7
shelter_partner_28,Shadow,B8
shelter_partner_29,Coco,B9
shelter_partner_30,Salem,B10
shelter_partner_31,Callie,B11
shelter_partner_32,George,B12
shelter_partner_33,Ivy,B13
shelter_partner_34,Hazel,B14
shelter_partner_35,Henry,B15
shelter_partner_36,Poppy,B16
shelter_partner_37,Olive,B17
shelter_partner_38,Archie,B18
shelter_partner_39,Saffron,B19
shelter_partner_40,Sebastian,B20
shelter_partner_41,Tigger,C1
shelter_partner_42,Binx,C2
shelter_partner_43,Aurora,C3
shelter_partner_44,Dexter,C4
shelter_partner_45,Esme,C5
shelter_partner_46,Grace,C6
shelter_partner_47,Hugo,C7
shelter_partner_48,Jasmine,C8
shelter_partner_49,Kiki,C9
shelter_partner_50,Louie,C10
shelter_partner_51,Maple,C11
shelter_partner_52,Nico,C12
shelter_partner_53,Pearl,C13
shelter_partner_54,Quincy,C14
shelter_partner_55,Rosie,C15
shelter_partner_56,Uma,C16
shelter_partner_57,Violet,C17
shelter_partner_58,Winston,C18
shelter_partner_59,Xena,C19
shelter_partner_60,Yara,C20
shelter_partner_61,Ziggy,D1
shelter_partner_62,Apollo,D2
shelter_partner_63,Bianca,D3
shelter_partner_64,Casper,D4
shelter_partner_65,Daphne,D5
shelter_partner_66,Elliot,D6
shelter_partner_67,Freya,D7
